nombre,secretaria.nombre,dependencia.nombre,atencion[0].direccion,atencion[1].direccion,atencion[2].direccion,atencion[3].direccion,atencion[4].direccion,atencion[5].direccion,atencion[6].direccion,atencion[7].direccion,atencion[8].direccion,atencion[9].direccion,atencion[10].direccion,atencion[11].direccion,atencion[12].direccion,atencion[13].direccion,atencion[14].direccion,atencion[15].direccion,atencion[16].direccion,atencion[17].direccion,atencion[18].direccion,atencion[19].direccion,atencion[20].direccion,atencion[21].direccion,atencion[22].direccion,atencion[23].direccion,atencion[24].direccion,atencion[25].direccion,atencion[26].direccion,atencion[27].direccion,atencion[28].direccion,atencion[29].direccion,atencion[30].direccion,atencion[31].direccion,atencion[32].direccion,atencion[33].direccion,atencion[34].direccion,atencion[35].direccion,atencion[36].direccion,atencion[37].direccion,atencion[38].direccion,atencion[39].direccion,atencion[40].direccion,atencion[41].direccion,atencion[42].direccion,atencion[43].direccion,atencion[44].direccion,atencion[45].direccion,atencion[46].direccion,atencion[47].direccion,atencion[48].direccion,atencion[49].direccion,atencion[50].direccion,atencion[51].direccion,atencion[52].direccion,atencion[53].direccion,atencion[54].direccion,atencion[55].direccion,atencion[56].direccion,atencion[57].direccion,atencion[58].direccion,atencion[59].direccion,atencion[60].direccion,atencion[61].direccion,atencion[62].direccion,atencion[63].direccion,atencion[64].direccion,atencion[65].direccion,atencion[66].direccion,atencion[67].direccion,atencion[68].direccion,atencion[69].direccion,atencion[70].direccion,atencion[71].direccion,atencion[72].direccion,atencion[73].direccion,atencion[74].direccion,atencion[75].direccion,atencion[76].direccion,atencion[77].direccion,atencion[78].direccion,atencion[79].direccion,atencion[80].direccion,atencion[81].direccion,atencion[82].direccion,atencion[83].direccion,atencion[84].direccion,atencion[0].coordenadas.coordinates[0],atencion[0].coordenadas.coordinates[1],atencion[1].coordenadas.coordinates[0],atencion[1].coordenadas.coordinates[1],atencion[2].coordenadas.coordinates[0],atencion[2].coordenadas.coordinates[1],atencion[3].coordenadas.coordinates[0],atencion[3].coordenadas.coordinates[1],atencion[4].coordenadas.coordinates[0],atencion[4].coordenadas.coordinates[1],atencion[5].coordenadas.coordinates[0],atencion[5].coordenadas.coordinates[1],atencion[6].coordenadas.coordinates[0],atencion[6].coordenadas.coordinates[1],atencion[7].coordenadas.coordinates[0],atencion[7].coordenadas.coordinates[1],atencion[8].coordenadas.coordinates[0],atencion[8].coordenadas.coordinates[1],atencion[9].coordenadas.coordinates[0],atencion[9].coordenadas.coordinates[1],atencion[10].coordenadas.coordinates[0],atencion[10].coordenadas.coordinates[1],atencion[11].coordenadas.coordinates[0],atencion[11].coordenadas.coordinates[1],atencion[12].coordenadas.coordinates[0],atencion[12].coordenadas.coordinates[1],atencion[13].coordenadas.coordinates[0],atencion[13].coordenadas.coordinates[1],atencion[14].coordenadas.coordinates[0],atencion[14].coordenadas.coordinates[1],atencion[15].coordenadas.coordinates[0],atencion[15].coordenadas.coordinates[1],atencion[16].coordenadas.coordinates[0],atencion[16].coordenadas.coordinates[1],atencion[17].coordenadas.coordinates[0],atencion[17].coordenadas.coordinates[1],atencion[18].coordenadas.coordinates[0],atencion[18].coordenadas.coordinates[1],atencion[19].coordenadas.coordinates[0],atencion[19].coordenadas.coordinates[1],atencion[20].coordenadas.coordinates[0],atencion[20].coordenadas.coordinates[1],atencion[21].coordenadas.coordinates[0],atencion[21].coordenadas.coordinates[1],atencion[22].coordenadas.coordinates[0],atencion[22].coordenadas.coordinates[1],atencion[23].coordenadas.coordinates[0],atencion[23].coordenadas.coordinates[1],atencion[24].coordenadas.coordinates[0],atencion[24].coordenadas.coordinates[1],atencion[25].coordenadas.coordinates[0],atencion[25].coordenadas.coordinates[1],atencion[26].coordenadas.coordinates[0],atencion[26].coordenadas.coordinates[1],atencion[27].coordenadas.coordinates[0],atencion[27].coordenadas.coordinates[1],atencion[28].coordenadas.coordinates[0],atencion[28].coordenadas.coordinates[1],atencion[29].coordenadas.coordinates[0],atencion[29].coordenadas.coordinates[1],atencion[30].coordenadas.coordinates[0],atencion[30].coordenadas.coordinates[1],atencion[31].coordenadas.coordinates[0],atencion[31].coordenadas.coordinates[1],atencion[32].coordenadas.coordinates[0],atencion[32].coordenadas.coordinates[1],atencion[33].coordenadas.coordinates[0],atencion[33].coordenadas.coordinates[1],atencion[34].coordenadas.coordinates[0],atencion[34].coordenadas.coordinates[1],atencion[35].coordenadas.coordinates[0],atencion[35].coordenadas.coordinates[1],atencion[36].coordenadas.coordinates[0],atencion[36].coordenadas.coordinates[1],atencion[37].coordenadas.coordinates[0],atencion[37].coordenadas.coordinates[1],atencion[38].coordenadas.coordinates[0],atencion[38].coordenadas.coordinates[1],atencion[39].coordenadas.coordinates[0],atencion[39].coordenadas.coordinates[1],atencion[40].coordenadas.coordinates[0],atencion[40].coordenadas.coordinates[1],atencion[41].coordenadas.coordinates[0],atencion[41].coordenadas.coordinates[1],atencion[42].coordenadas.coordinates[0],atencion[42].coordenadas.coordinates[1],atencion[43].coordenadas.coordinates[0],atencion[43].coordenadas.coordinates[1],atencion[44].coordenadas.coordinates[0],atencion[44].coordenadas.coordinates[1],atencion[45].coordenadas.coordinates[0],atencion[45].coordenadas.coordinates[1],atencion[46].coordenadas.coordinates[0],atencion[46].coordenadas.coordinates[1],atencion[47].coordenadas.coordinates[0],atencion[47].coordenadas.coordinates[1],atencion[48].coordenadas.coordinates[0],atencion[48].coordenadas.coordinates[1],atencion[49].coordenadas.coordinates[0],atencion[49].coordenadas.coordinates[1],atencion[50].coordenadas.coordinates[0],atencion[50].coordenadas.coordinates[1],atencion[51].coordenadas.coordinates[0],atencion[51].coordenadas.coordinates[1],atencion[52].coordenadas.coordinates[0],atencion[52].coordenadas.coordinates[1],atencion[53].coordenadas.coordinates[0],atencion[53].coordenadas.coordinates[1],atencion[54].coordenadas.coordinates[0],atencion[54].coordenadas.coordinates[1],atencion[55].coordenadas.coordinates[0],atencion[55].coordenadas.coordinates[1],atencion[56].coordenadas.coordinates[0],atencion[56].coordenadas.coordinates[1],atencion[57].coordenadas.coordinates[0],atencion[57].coordenadas.coordinates[1],atencion[58].coordenadas.coordinates[0],atencion[58].coordenadas.coordinates[1],atencion[59].coordenadas.coordinates[0],atencion[59].coordenadas.coordinates[1],atencion[60].coordenadas.coordinates[0],atencion[60].coordenadas.coordinates[1],atencion[61].coordenadas.coordinates[0],atencion[61].coordenadas.coordinates[1],atencion[62].coordenadas.coordinates[0],atencion[62].coordenadas.coordinates[1],atencion[63].coordenadas.coordinates[0],atencion[63].coordenadas.coordinates[1],atencion[64].coordenadas.coordinates[0],atencion[64].coordenadas.coordinates[1],atencion[65].coordenadas.coordinates[0],atencion[65].coordenadas.coordinates[1],atencion[66].coordenadas.coordinates[0],atencion[66].coordenadas.coordinates[1],atencion[67].coordenadas.coordinates[0],atencion[67].coordenadas.coordinates[1],atencion[68].coordenadas.coordinates[0],atencion[68].coordenadas.coordinates[1],atencion[69].coordenadas.coordinates[0],atencion[69].coordenadas.coordinates[1],atencion[70].coordenadas.coordinates[0],atencion[70].coordenadas.coordinates[1],atencion[71].coordenadas.coordinates[0],atencion[71].coordenadas.coordinates[1],atencion[72].coordenadas.coordinates[0],atencion[72].coordenadas.coordinates[1],atencion[73].coordenadas.coordinates[0],atencion[73].coordenadas.coordinates[1],atencion[74].coordenadas.coordinates[0],atencion[74].coordenadas.coordinates[1],atencion[75].coordenadas.coordinates[0],atencion[75].coordenadas.coordinates[1],atencion[76].coordenadas.coordinates[0],atencion[76].coordenadas.coordinates[1],atencion[77].coordenadas.coordinates[0],atencion[77].coordenadas.coordinates[1],atencion[78].coordenadas.coordinates[0],atencion[78].coordenadas.coordinates[1],atencion[79].coordenadas.coordinates[0],atencion[79].coordenadas.coordinates[1],atencion[80].coordenadas.coordinates[0],atencion[80].coordenadas.coordinates[1],atencion[81].coordenadas.coordinates[0],atencion[81].coordenadas.coordinates[1],atencion[82].coordenadas.coordinates[0],atencion[82].coordenadas.coordinates[1],atencion[83].coordenadas.coordinates[0],atencion[83].coordenadas.coordinates[1],atencion[84].coordenadas.coordinates[0],atencion[84].coordenadas.coordinates[1],atencion[0].municipio,atencion[1].municipio,atencion[2].municipio,atencion[3].municipio,atencion[4].municipio,atencion[5].municipio,atencion[6].municipio,atencion[7].municipio,atencion[8].municipio,atencion[9].municipio,atencion[10].municipio,atencion[11].municipio,atencion[12].municipio,atencion[13].municipio,atencion[14].municipio,atencion[15].municipio,atencion[16].municipio,atencion[17].municipio,atencion[18].municipio,atencion[19].municipio,atencion[20].municipio,atencion[21].municipio,atencion[22].municipio,atencion[23].municipio,atencion[24].municipio,atencion[25].municipio,atencion[26].municipio,atencion[27].municipio,atencion[28].municipio,atencion[29].municipio,atencion[30].municipio,atencion[31].municipio,atencion[32].municipio,atencion[33].municipio,atencion[34].municipio,atencion[35].municipio,atencion[36].municipio,atencion[37].municipio,atencion[38].municipio,atencion[39].municipio,atencion[40].municipio,atencion[41].municipio,atencion[42].municipio,atencion[43].municipio,atencion[44].municipio,atencion[45].municipio,atencion[46].municipio,atencion[47].municipio,atencion[48].municipio,atencion[49].municipio,atencion[50].municipio,atencion[51].municipio,atencion[52].municipio,atencion[53].municipio,atencion[54].municipio,atencion[55].municipio,atencion[56].municipio,atencion[57].municipio,atencion[58].municipio,atencion[59].municipio,atencion[60].municipio,atencion[61].municipio,atencion[62].municipio,atencion[63].municipio,atencion[64].municipio,atencion[65].municipio,atencion[66].municipio,atencion[67].municipio,atencion[68].municipio,atencion[69].municipio,atencion[70].municipio,atencion[71].municipio,atencion[72].municipio,atencion[73].municipio,atencion[74].municipio,atencion[75].municipio,atencion[76].municipio,atencion[77].municipio,atencion[78].municipio,atencion[79].municipio,atencion[80].municipio,atencion[81].municipio,atencion[82].municipio,atencion[83].municipio,atencion[84].municipio
Inicio de Carpetas de Investigación Presencial,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle S/N Centro Civico 42083 Pachuca De Soto Pachuca De Soto,Calle S/N Centro Cívico 43083 Pachuca De Soto Pachuca De Soto,Calle S/N Centro Cívico 42083 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.784213,20.063792,-98.784213,20.063792,-98.784213,20.063792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,Pachuca De Soto,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prevención Social de la Violencia y la Delincuencia.,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,Calle S/N Fraccionamiento Colosio II 42039 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.757784,20.095593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedimientos administrativos (corrección de actas).,Secretaría de Gobierno,Dirección del Registro del Estado Familiar,Boulevard 208 Ex hacienda Coscotitlán 42080 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.747232,20.112652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doble nacionalidad ""Ya Soy Hidalguense"" (Totalmente gratuito)",Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,Calle 101 Ampliación Santa Julia 42080 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.761485,20.10369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traslados de Restos Mortuorios,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,Calle 101 Ampliación Santa Julia 42080 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.761478,20.103713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Expedición de Copias Certificadas en Libros (del año 2015 y Años Anteriores), e Impresión de Folios a partir del año 2015 (Registro Público de la Propiedad y del Comercio)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Calle 907 Fraccionamiento 42094 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.7404833,20.1156488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asesoría Jurídica.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.7325012,20.1180082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registro Estatal de Consultores en Materia de Protección Civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,Calle 115 Revolución 42060 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.73788436195264,20.120961740571286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renovación anual del registro estatal de consultores en materia de protección civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,Calle 903 Revolución 42060 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.73788436195264,20.120961740571286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registro de Marca,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,Avenida s/n Periodistas 42060 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.746577,20.114135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por la Suscripción al Periódico Oficial, por ejercicio fiscal vigente.",Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.7448806,20.1165161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legalización de Documentos,Secretaría de Gobierno,Secretaría de Gobierno,Calle S/N Centro 42000 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.7369835948075,20.12233399571372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Permiso provisional para conducir,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,Calle 301 Valle de San Javier 0 Pachuca De Soto Pachuca De Soto,Calle 60 Centro 42500 Actopan Actopan,Calle S/N 2da. Sección de la Col. Independencia 43994 Tepeapulco Tepeapulco,Calle S/N Aviación Civil 43000 Huejutla De Reyes Huejutla De Reyes,Carretera S/N Col. Centro 42300 Ixmiquilpan Ixmiquilpan,Calle S/N Col. Atempa 43800 Tizayuca Tizayuca,Boulevard 106 Villas de Salitre 42808 Tula De Allende Tula De Allende,Calle S/N Fraccionamiento los Pinos 43612 Tulancingo De Bravo Tulancingo De Bravo,Avenida S/N la Providencia Siglo XXI 42186 La Providencia Siglo XXI Mineral De La Reforma,Avenida 18 El Calvario 42404 Huichapan Huichapan,Avenida S/N Noxtongo 2da. Sección 42855 Tepeji Del Río De Ocampo Tepeji Del Río De Ocampo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.750981,20.101168,-98.9388999,20.2671613,-98.577262,19.76424,-98.411786,21.140831,-99.2218889,20.4779722,-98.97953,19.83531,-99.33654,20.05821,-98.36415,20.09451,-98.716315,20.0686693,-99.642494,20.375293,-99.357894,19.916463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,Actopan,Tepeapulco,Huejutla De Reyes,Ixmiquilpan,Tizayuca,Tula De Allende,Tulancingo De Bravo,Mineral De La Reforma,Huichapan,Tepeji Del Río De Ocampo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constancia de Vehículo No Robado,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle Km 84.5 SPAUAH 42083 Pachuca De Soto Pachuca De Soto,Carretera S/N La Malinche 3.a Sección 42814 Tula De Allende Tula De Allende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.7848459,20.0653732,-99.36235924467908,20.061964516009734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,Tula De Allende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa de la Mujer Hidalguense,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 103 Colosio I 42088 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.736977,20.124368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reporte de violencia o maltrato en contra de Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 118 Centro 42000 Pachuca De Soto Pachuca De Soto,Calle s/n Centro 42500 Actopan Actopan,Calle 15-E Centro 43900 Apan Apan,Calle s/n Centro 43300 Atotonilco El Grande Atotonilco El Grande,Calle 40 Centro 43000 Huejutla De Reyes Huejutla De Reyes,Calle 6 La Campana 42401 Huichapan Huichapan,Calle 2 Centro 42300 Ixmiquilpan Ixmiquilpan,Calle Km 265 San Isidro 42200 Jacala De Ledezma Jacala De Ledezma,Calle s/n Centro 43350 Metztitlán Metztitlán,Calle 31 Centro 42700 Mixquiahuala De Juárez Mixquiahuala De Juárez,Calle 25 Centro 43100 Molango De Escamilla Molango De Escamilla,Calle s/n Centro 43480 Tenango De Doria Tenango De Doria,Calle s/n Atempa 43808 Tizayuca Tizayuca,Calle 102 Barrio Alto 42800 Tula De Allende Tula De Allende,Calle 304 Centro 43710 Tulancingo De Bravo Tulancingo De Bravo,Calle 9 Centro 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,Calle s/n Centro 42330 Zimapán Zimapán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.736762,20.123719,-98.941324,20.275479,-98.452242,19.707614,-98.666827,20.284559,-98.422251,21.139399,-99.649251,20.366279,-99.217723,20.48307,-99.198568,21.007662,-98.765447,20.623517,-99.210534,20.228391,-98.729919,20.786829,-98.226504,20.338415,-98.984129,19.841278,-99.3439626,20.0560598,-98.353826,20.038778,-98.662278,20.663734,-99.38269,20.737301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,Actopan,Apan,Atotonilco El Grande,Huejutla De Reyes,Huichapan,Ixmiquilpan,Jacala De Ledezma,Metztitlán,Mixquiahuala De Juárez,Molango De Escamilla,Tenango De Doria,Tizayuca,Tula De Allende,Tulancingo De Bravo,Zacualtipán De Ángeles,Zimapán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
